symbol,exchange,tickSz,tickBps,avgPx,avgVol,avgNtl,volatility,dailyRange,tickRange,startDate,endDate
CSSEP,NASDAQ,0.01,3.98,25.1388,9010,226501,0.0856,0.1349,13,1/7/2019,1/11/2019
CSTE,NASDAQ,0.01,6.37,15.7005,116677,1831887,0.3407,0.4834,48,1/7/2019,1/11/2019
CSTL,NASDAQ,0.01,4.73,21.1252,169061,3571447,1.1809,1.9007,190,1/7/2019,1/11/2019
CSTR,NASDAQ,0.01,6.33,15.7899,74673,1179079,0.2361,0.3597,36,1/7/2019,1/11/2019
CSWC,NASDAQ,0.01,4.62,21.6571,71205,1542094,0.2118,0.3544,35,1/7/2019,1/11/2019
CSWCL,NASDAQ,0.01,3.84,26.0412,2479,64556,0.1433,0.2227,22,1/7/2019,1/11/2019
CSWI,NASDAQ,0.01,1.46,68.4465,70449,4821987,0.8489,1.4135,141,1/7/2019,1/11/2019
CSX,NASDAQ,0.01,1.44,69.5434,5517922,383735057,1.292,1.3808,138,1/7/2019,1/11/2019
CTAS,NASDAQ,0.01,0.39,259.1836,552924,143308833,4.265,4.5848,458,1/7/2019,1/11/2019
CTBI,NASDAQ,0.01,2.41,41.4594,32378,1342372,0.6109,0.8986,90,1/7/2019,1/11/2019
CTG,NASDAQ,0.01,21.52,4.647,56015,260302,0.0936,0.194,19,1/7/2019,1/11/2019
CTHR,NASDAQ,0.01,69.66,1.4356,109865,157722,0.0338,0.0574,6,1/7/2019,1/11/2019
CTIB,NASDAQ,0.01,40.95,2.442,1412,3448,0.1156,0.0867,9,1/7/2019,1/11/2019
CTIC,NASDAQ,0.0001,1.3,0.7679,126544,97173,0.0212,0.0409,409,1/7/2019,1/11/2019
CTMX,NASDAQ,0.01,11.05,9.053,397185,3595716,0.3317,0.5057,51,1/7/2019,1/11/2019
CTRE,NASDAQ,0.01,4.25,23.5497,733441,17272316,0.2899,0.494,49,1/7/2019,1/11/2019
CTRM,NASDAQ,0.01,30.21,3.3098,272769,902811,0.1605,0.3077,31,1/7/2019,1/11/2019
CTRN,NASDAQ,0.01,5.98,16.7314,82590,1381846,0.4684,0.6436,64,1/7/2019,1/11/2019
CTSH,NASDAQ,0.01,1.6,62.4472,3135524,195804694,0.7902,1.0987,110,1/7/2019,1/11/2019
CTSO,NASDAQ,0.01,18.12,5.5182,160822,887448,0.2153,0.3214,32,1/7/2019,1/11/2019
CTXR,NASDAQ,0.0001,1.07,0.934,132207,123481,0.0492,0.0767,767,1/7/2019,1/11/2019
CTXS,NASDAQ,0.01,1.03,97.0659,1923574,186713442,1.0673,1.3762,138,1/7/2019,1/11/2019
CUBA,NASDAQ,0.01,15.88,6.297,12577,79197,0.0795,0.1119,11,1/7/2019,1/11/2019
CUE,NASDAQ,0.01,12.63,7.918,82091,649997,0.2952,0.4475,45,1/7/2019,1/11/2019
CUTR,NASDAQ,0.01,3.57,28.046,142122,3985954,1.154,1.2657,127,1/7/2019,1/11/2019
CVBF,NASDAQ,0.01,4.8,20.8457,716506,14936069,0.3083,0.4028,40,1/7/2019,1/11/2019
CVCO,NASDAQ,0.01,0.55,182.0851,83679,15236699,3.9893,6.354,635,1/7/2019,1/11/2019
CVCY,NASDAQ,0.01,4.89,20.4364,18255,373066,0.3584,0.5415,54,1/7/2019,1/11/2019
CVET,NASDAQ,0.01,6.15,16.2611,1922864,31267884,1.1437,0.7905,79,1/7/2019,1/11/2019
CVGI,NASDAQ,0.01,13.66,7.3216,251914,1844414,0.2158,0.3088,31,1/7/2019,1/11/2019
CVGW,NASDAQ,0.01,1.09,91.6276,155615,14258629,1.417,2.318,232,1/7/2019,1/11/2019
CVLT,NASDAQ,0.01,2.18,45.8152,469026,21488520,0.9213,1.1,110,1/7/2019,1/11/2019
CVLY,NASDAQ,0.01,4.64,21.5515,12721,274157,0.3382,0.5513,55,1/7/2019,1/11/2019
CVV,NASDAQ,0.01,28.15,3.5523,9514,33797,0.0988,0.1144,11,1/7/2019,1/11/2019
CWBC,NASDAQ,0.01,10.21,9.792,5052,49469,0.0799,0.0734,7,1/7/2019,1/11/2019
CWBR,NASDAQ,0.01,66.6,1.5014,36759,55190,0.0664,0.1116,11,1/7/2019,1/11/2019
CWCO,NASDAQ,0.01,6.6,15.1606,53984,818430,0.2563,0.4121,41,1/7/2019,1/11/2019
CWST,NASDAQ,0.01,2.31,43.2428,304531,13168773,0.8468,1.289,129,1/7/2019,1/11/2019
CXDC,NASDAQ,0.01,47.7,2.0963,21400,44861,0.0684,0.0936,9,1/7/2019,1/11/2019
CXDO,NASDAQ,0.01,30.37,3.2924,4105,13515,0.0908,0.0562,6,1/7/2019,1/11/2019
CXSE,NASDAQ,0.01,1.37,72.8745,9872,719417,0.8995,0.5952,60,1/7/2019,1/11/2019
CYAD,NASDAQ,0.01,8.62,11.6025,28491,330567,0.6194,0.5023,50,1/7/2019,1/11/2019
CYAN,NASDAQ,0.01,39.97,2.5016,2158,5398,0.0974,0.0692,7,1/7/2019,1/11/2019
CYBE,NASDAQ,0.01,7.07,14.1442,44933,635541,0.3287,0.7086,71,1/7/2019,1/11/2019
CYBR,NASDAQ,0.01,0.87,115.5285,777371,89808506,2.9974,4.1496,415,1/7/2019,1/11/2019
CYCC,NASDAQ,0.01,10.94,9.1395,9167,83782,0.4687,0.9047,90,1/7/2019,1/11/2019
CYCCP,NASDAQ,0.01,20.49,4.8814,194,947,0.205,0.0498,5,1/7/2019,1/11/2019
CYCN,NASDAQ,0.01,9.64,10.3783,207179,2150166,1.2915,0.9663,97,1/7/2019,1/11/2019
CYRN,NASDAQ,0.01,61.54,1.6249,28850,46878,0.0673,0.1034,10,1/7/2019,1/11/2019
CYRX,NASDAQ,0.01,5.39,18.5699,571173,10606625,0.6267,0.9551,96,1/7/2019,1/11/2019
CYTK,NASDAQ,0.01,8.16,12.2502,386288,4732105,0.376,0.6024,60,1/7/2019,1/11/2019
CZNC,NASDAQ,0.01,3.99,25.0793,12258,307422,0.4051,0.6271,63,1/7/2019,1/11/2019
CZR,NASDAQ,0.01,8.48,11.7869,11939778,140732969,0.1015,0.1588,16,1/7/2019,1/11/2019
CZWI,NASDAQ,0.01,9.12,10.9685,10300,112976,0.1635,0.2159,22,1/7/2019,1/11/2019
DAIO,NASDAQ,0.01,25.07,3.9895,15720,62715,0.1082,0.1484,15,1/7/2019,1/11/2019
DAKT,NASDAQ,0.01,14.75,6.7802,184522,1251096,0.1477,0.1742,17,1/7/2019,1/11/2019
DALI,NASDAQ,0.01,4.96,20.1434,8279,166767,0.1903,0.1248,12,1/7/2019,1/11/2019
DARE,NASDAQ,0.0001,1.26,0.7967,107876,85945,0.0239,0.0527,527,1/7/2019,1/11/2019
DAX,NASDAQ,0.01,3.87,25.8196,2303,59463,0.2823,0.1426,14,1/7/2019,1/11/2019
DBCP,NASDAQ,0.01,13.51,7.4016,1588,11754,0.0314,0.0109,1,1/7/2019,1/11/2019
DBVT,NASDAQ,0.01,11.1,9.011,300135,2704516,0.3198,0.363,36,1/7/2019,1/11/2019
DBX,NASDAQ,0.01,4.82,20.751,3483690,72290051,0.4734,0.5937,59,1/7/2019,1/11/2019
DCOM,NASDAQ,0.01,4.91,20.383,114097,2325639,0.4444,0.4116,41,1/7/2019,1/11/2019
DCPH,NASDAQ,0.01,3.2,31.2077,682800,21308618,1.9757,1.6144,161,1/7/2019,1/11/2019
DCTH,NASDAQ,0.01,1.78,56.0826,107086,6005661,7.3163,8.6469,865,1/7/2019,1/11/2019
DDIV,NASDAQ,0.01,3.9,25.6441,15842,406254,0.1697,0.1395,14,1/7/2019,1/11/2019
DDOG,NASDAQ,0.01,2.97,33.6813,2591284,87277814,1.7146,2.534,253,1/7/2019,1/11/2019
DENN,NASDAQ,0.01,4.49,22.2935,455113,10146062,0.2828,0.4522,45,1/7/2019,1/11/2019
DFFN,NASDAQ,0.01,50.95,1.9629,113876,223527,0.1051,0.1612,16,1/7/2019,1/11/2019
DFNL,NASDAQ,0.01,4.29,23.3315,15267,356202,0.2505,0.2068,21,1/7/2019,1/11/2019
DGICA,NASDAQ,0.01,6.89,14.5083,18945,274860,0.1859,0.2867,29,1/7/2019,1/11/2019
DGICB,NASDAQ,0.01,7.53,13.2756,336,4461,0.4374,0.1002,10,1/7/2019,1/11/2019
DGII,NASDAQ,0.01,7.48,13.3612,97208,1298816,0.2326,0.3623,36,1/7/2019,1/11/2019
DGLY,NASDAQ,0.01,78.62,1.2719,212593,270397,0.0809,0.1345,13,1/7/2019,1/11/2019
DGRE,NASDAQ,0.01,4.21,23.7358,11665,276878,0.2316,0.1712,17,1/7/2019,1/11/2019
DGRS,NASDAQ,0.01,2.87,34.8985,9756,340470,0.4316,0.3778,38,1/7/2019,1/11/2019
DGRW,NASDAQ,0.01,2.25,44.4622,228099,10141783,0.4054,0.4188,42,1/7/2019,1/11/2019
DHC,NASDAQ,0.01,11.3,8.8483,1683376,14895016,0.1567,0.2477,25,1/7/2019,1/11/2019
DHCNI,NASDAQ,0.01,4.25,23.5365,43288,1018848,0.1772,0.2254,23,1/7/2019,1/11/2019
DHIL,NASDAQ,0.01,0.74,135.5781,18680,2532599,1.7293,2.8598,286,1/7/2019,1/11/2019
DINT,NASDAQ,0.01,5.73,17.464,14867,259637,0.2019,0.1467,15,1/7/2019,1/11/2019
DIOD,NASDAQ,0.01,2.52,39.6767,439727,17446916,0.9059,1.1978,120,1/7/2019,1/11/2019
DISCA,NASDAQ,0.01,3.5,28.5943,3702571,105872426,0.4608,0.719,72,1/7/2019,1/11/2019
DISCB,NASDAQ,0.01,2.86,34.967,193,6749,1.0014,0.2495,25,1/7/2019,1/11/2019
DISCK,NASDAQ,0.01,3.76,26.6052,2597367,69103469,0.4184,0.6558,66,1/7/2019,1/11/2019
DISH,NASDAQ,0.01,2.83,35.2843,2456247,86666956,0.7745,1.0392,104,1/7/2019,1/11/2019
DJCO,NASDAQ,0.01,0.42,240.5176,2844,684032,4.7261,4.7593,476,1/7/2019,1/11/2019
DKNG,NASDAQ,0.01,10.15,9.8566,60687,598167,0.0323,0.0094,1,1/7/2019,1/11/2019
DLHC,NASDAQ,0.01,22,4.5445,13358,60705,0.1346,0.2367,24,1/7/2019,1/11/2019
DLPN,NASDAQ,0.0001,1.08,0.9263,14799,13708,0.0544,0.0721,721,1/7/2019,1/11/2019
DLTH,NASDAQ,0.01,9.62,10.3924,395271,4107814,0.333,0.5193,52,1/7/2019,1/11/2019
DLTR,NASDAQ,0.01,0.93,107.2119,1948198,208870009,1.6476,2.3397,234,1/7/2019,1/11/2019
DMAC,NASDAQ,0.01,33.2,3.0117,48315,145510,0.2191,0.2735,27,1/7/2019,1/11/2019
DMLP,NASDAQ,0.01,5.49,18.2299,39174,714138,0.3462,0.4965,50,1/7/2019,1/11/2019
DMPI,NASDAQ,0.0001,1.09,0.9203,673834,620129,0.0932,0.1277,1277,1/7/2019,1/11/2019
DMRC,NASDAQ,0.01,2.38,41.9378,103315,4332804,1.5039,2.0798,208,1/7/2019,1/11/2019
DMTK,NASDAQ,0.01,7.98,12.5305,26021,326056,0.9377,0.5253,53,1/7/2019,1/11/2019
DNJR,NASDAQ,0.01,98.36,1.0167,192136,195345,0.1254,0.1609,16,1/7/2019,1/11/2019
DNKN,NASDAQ,0.01,1.25,79.8127,587134,46860750,1.0427,1.4274,143,1/7/2019,1/11/2019
DNLI,NASDAQ,0.01,5.53,18.0769,306193,5535020,0.5625,0.8658,87,1/7/2019,1/11/2019
DOCU,NASDAQ,0.01,1.79,55.7888,2827101,157720572,1.6643,1.9141,191,1/7/2019,1/11/2019
DOGZ,NASDAQ,0.01,39.17,2.5528,43352,110669,0.1203,0.1888,19,1/7/2019,1/11/2019
DOMO,NASDAQ,0.01,4.56,21.9468,731222,16047983,1.185,1.1201,112,1/7/2019,1/11/2019
DOOO,NASDAQ,0.01,2.72,36.7945,35976,1323719,0.9103,1.0206,102,1/7/2019,1/11/2019
DORM,NASDAQ,0.01,1.28,77.9745,191391,14923618,1.9881,2.3074,231,1/7/2019,1/11/2019
DOX,NASDAQ,0.01,1.55,64.655,562745,36384278,0.5496,0.8934,89,1/7/2019,1/11/2019
DOYU,NASDAQ,0.01,11.35,8.8129,2276397,20061659,0.3422,0.4661,47,1/7/2019,1/11/2019
DPHC,NASDAQ,0.01,10.15,9.8498,53122,523241,0.0152,0.0129,1,1/7/2019,1/11/2019
DPHCU,NASDAQ,0.01,9.86,10.139,3007,30488,0.0153,0.013,1,1/7/2019,1/11/2019
DRAD,NASDAQ,0.01,20.73,4.8244,41871,202002,0.1878,0.2599,26,1/7/2019,1/11/2019
DRADP,NASDAQ,0.01,10.31,9.7036,3257,31605,0.1569,0.1456,15,1/7/2019,1/11/2019
DRIO,NASDAQ,0.0001,2.57,0.3893,92115,35860,0.0274,0.0432,432,1/7/2019,1/11/2019
DRIV,NASDAQ,0.01,7.63,13.1051,17084,223888,0.1657,0.1396,14,1/7/2019,1/11/2019
DRNA,NASDAQ,0.01,6.88,14.5398,415308,6038495,0.3897,0.6436,64,1/7/2019,1/11/2019
DRRX,NASDAQ,0.01,66.84,1.496,981165,1467823,0.0722,0.1149,11,1/7/2019,1/11/2019
DRTT,NASDAQ,0.01,20.22,4.9459,12371,61186,0.1139,0.0794,8,1/7/2019,1/11/2019
DSGX,NASDAQ,0.01,2.66,37.6457,86460,3254847,0.6104,0.7447,74,1/7/2019,1/11/2019
DSKE,NASDAQ,0.01,35.79,2.7941,317070,885925,0.1869,0.2205,22,1/7/2019,1/11/2019
DSPG,NASDAQ,0.01,6.96,14.3694,111506,1602274,0.265,0.3777,38,1/7/2019,1/11/2019
DSWL,NASDAQ,0.01,37.53,2.6643,4236,11286,0.0602,0.0466,5,1/7/2019,1/11/2019
DTEA,NASDAQ,0.01,61.99,1.6131,181900,293423,0.074,0.1154,12,1/7/2019,1/11/2019
DTIL,NASDAQ,0.01,10.23,9.7795,156940,1534795,0.4403,0.7179,72,1/7/2019,1/11/2019
DTSS,NASDAQ,0.01,76.52,1.3069,224286,293119,0.3018,0.2772,28,1/7/2019,1/11/2019
DUOT,NASDAQ,0.01,29.22,3.4218,68476,234311,0.7646,0.3482,35,1/7/2019,1/11/2019
DUSA,NASDAQ,0.01,4.22,23.7025,9993,236859,0.2494,0.1932,19,1/7/2019,1/11/2019
DVAX,NASDAQ,0.01,25.11,3.982,1540590,6134629,0.1776,0.3169,32,1/7/2019,1/11/2019
DVLU,NASDAQ,0.01,5.43,18.4199,4290,79021,0.1889,0.1048,10,1/7/2019,1/11/2019
DVOL,NASDAQ,0.01,4.47,22.3653,75751,1694194,0.1584,0.1748,17,1/7/2019,1/11/2019
DVY,NASDAQ,0.01,1,100.0812,451786,45215285,0.8381,0.942,94,1/7/2019,1/11/2019
DWAS,NASDAQ,0.01,1.9,52.5435,29956,1573993,0.6092,0.6907,69,1/7/2019,1/11/2019
DWAT,NASDAQ,0.01,8.92,11.2149,536,6011,0.0829,0.0111,1,1/7/2019,1/11/2019
DWCR,NASDAQ,0.01,3.77,26.5029,1769,46884,0.1651,0.0173,2,1/7/2019,1/11/2019
DWFI,NASDAQ,0.01,4.25,23.5034,20660,485580,0.058,0.0554,6,1/7/2019,1/11/2019
DWLD,NASDAQ,0.01,4.34,23.0389,20972,483172,0.268,0.2328,23,1/7/2019,1/11/2019
DWMC,NASDAQ,0.01,4.5,22.2435,1145,25469,0.2541,0.0699,7,1/7/2019,1/11/2019
DWPP,NASDAQ,0.01,3.22,31.0162,9183,284822,0.2616,0.2162,22,1/7/2019,1/11/2019
DWSH,NASDAQ,0.01,3.78,26.4231,33241,878330,0.4776,0.5027,50,1/7/2019,1/11/2019
DWSN,NASDAQ,0.01,45.65,2.1906,74720,163682,0.088,0.1306,13,1/7/2019,1/11/2019
DXCM,NASDAQ,0.01,0.65,154.9817,805080,124772667,3.7171,5.543,554,1/7/2019,1/11/2019
DXGE,NASDAQ,0.01,3.42,29.2448,4250,124290,0.298,0.1038,10,1/7/2019,1/11/2019
DXJS,NASDAQ,0.01,2.61,38.2615,8659,331306,0.4111,0.2372,24,1/7/2019,1/11/2019
DXLG,NASDAQ,0.01,61.25,1.6327,70586,115246,0.0623,0.1023,10,1/7/2019,1/11/2019
DXPE,NASDAQ,0.01,2.98,33.5124,73799,2473182,0.8112,1.2127,121,1/7/2019,1/11/2019
DXYN,NASDAQ,0.01,96.88,1.0322,70901,73184,0.0834,0.1048,10,1/7/2019,1/11/2019
DYAI,NASDAQ,0.01,16.67,6.0003,93635,561838,0.2463,0.3877,39,1/7/2019,1/11/2019
DYNT,NASDAQ,0.01,77.18,1.2956,9744,12624,0.059,0.0847,8,1/7/2019,1/11/2019
DZSI,NASDAQ,0.01,9.93,10.0749,108885,1097005,0.3398,0.435,44,1/7/2019,1/11/2019
EA,NASDAQ,0.01,1.06,94.1587,3452691,325100896,1.6483,2.3857,239,1/7/2019,1/11/2019
EARS,NASDAQ,0.01,38.63,2.5886,117714,304714,0.0772,0.159,16,1/7/2019,1/11/2019
EAST,NASDAQ,0.01,21.69,4.6096,38971,179641,0.1622,0.3008,30,1/7/2019,1/11/2019
EBAY,NASDAQ,0.01,2.53,39.4849,7203015,284410327,0.6885,0.7463,75,1/7/2019,1/11/2019
EBAYL,NASDAQ,0.01,3.73,26.8019,64514,1729098,0.1361,0.1867,19,1/7/2019,1/11/2019
EBIX,NASDAQ,0.01,2.41,41.4636,304967,12645030,1.0643,1.5927,159,1/7/2019,1/11/2019
EBIZ,NASDAQ,0.01,5.62,17.7994,2387,42487,0.2443,0.0979,10,1/7/2019,1/11/2019
EBMT,NASDAQ,0.01,5.88,16.9971,7459,126781,0.265,0.4153,42,1/7/2019,1/11/2019
EBSB,NASDAQ,0.01,5.45,18.3523,125616,2305343,0.2419,0.3474,35,1/7/2019,1/11/2019
EBTC,NASDAQ,0.01,3.4,29.3731,8128,238745,0.5856,0.8767,88,1/7/2019,1/11/2019
ECHO,NASDAQ,0.01,4.74,21.0853,227687,4800849,0.4793,0.6823,68,1/7/2019,1/11/2019
ECOL,NASDAQ,0.01,1.61,62.2555,119900,7464434,0.9376,1.462,146,1/7/2019,1/11/2019
ECOR,NASDAQ,0.01,47.95,2.0854,203540,424462,0.2346,0.3028,30,1/7/2019,1/11/2019
ECOW,NASDAQ,0.01,4.14,24.1434,1671,40344,0.2223,0.044,4,1/7/2019,1/11/2019
ECPG,NASDAQ,0.01,2.89,34.5527,309970,10710300,0.976,1.0687,107,1/7/2019,1/11/2019
EDAP,NASDAQ,0.01,26.85,3.7241,187876,699669,0.134,0.2445,24,1/7/2019,1/11/2019
EDIT,NASDAQ,0.01,4.22,23.7027,568751,13480934,0.6071,0.9748,97,1/7/2019,1/11/2019
EDNT,NASDAQ,0.01,44.96,2.2243,52955,117788,0.1165,0.2157,22,1/7/2019,1/11/2019
EDRY,NASDAQ,0.01,12.73,7.8573,1719,13507,0.2698,0.1994,20,1/7/2019,1/11/2019
EDSA,NASDAQ,0.01,18.86,5.3028,163255,865709,0.3943,0.5243,52,1/7/2019,1/11/2019
EDUC,NASDAQ,0.01,15.49,6.4545,15506,100083,0.1572,0.2705,27,1/7/2019,1/11/2019
EEFT,NASDAQ,0.01,0.66,152.0453,412824,62767949,2.4006,3.5126,351,1/7/2019,1/11/2019
EEMA,NASDAQ,0.01,1.56,64.17,30890,1982211,0.6029,0.4724,47,1/7/2019,1/11/2019
EFAS,NASDAQ,0.01,6.46,15.4812,17397,269326,0.1372,0.0827,8,1/7/2019,1/11/2019
EFOI,NASDAQ,0.01,0,36182.7762,3,108548,2847.2479,3651.8895,365189,1/7/2019,1/11/2019
EFSC,NASDAQ,0.01,2.46,40.6556,100444,4083611,0.6498,0.8737,87,1/7/2019,1/11/2019
EGAN,NASDAQ,0.01,13.14,7.6119,142428,1084148,0.1675,0.2617,26,1/7/2019,1/11/2019
EGBN,NASDAQ,0.01,2.3,43.4803,306284,13317320,1.6953,1.1948,119,1/7/2019,1/11/2019
EGLE,NASDAQ,0.01,21.43,4.6657,531013,2477547,0.172,0.2266,23,1/7/2019,1/11/2019
EGOV,NASDAQ,0.01,5.02,19.9016,385007,7662255,0.6425,0.5573,56,1/7/2019,1/11/2019
EGRX,NASDAQ,0.01,1.74,57.5321,139723,8038558,1.0783,2.072,207,1/7/2019,1/11/2019
EHTH,NASDAQ,0.01,1.22,82.2471,745853,61344246,3.6048,4.3187,432,1/7/2019,1/11/2019
EIDX,NASDAQ,0.01,2.55,39.1795,174560,6839174,1.7618,2.6249,262,1/7/2019,1/11/2019
EIGI,NASDAQ,0.01,21.89,4.5688,618599,2826255,0.2168,0.2877,29,1/7/2019,1/11/2019
EIGR,NASDAQ,0.01,9.36,10.6869,122538,1309551,0.3112,0.4991,50,1/7/2019,1/11/2019
EKSO,NASDAQ,0.01,8.34,11.9956,150686,1807569,0.5908,0.9256,93,1/7/2019,1/11/2019
ELGX,NASDAQ,0.01,19.42,5.1502,230353,1186364,0.1858,0.328,33,1/7/2019,1/11/2019
ELOX,NASDAQ,0.01,16.12,6.2044,104631,649173,0.404,0.546,55,1/7/2019,1/11/2019
ELSE,NASDAQ,0.01,27.11,3.6891,4595,16951,0.0681,0.0666,7,1/7/2019,1/11/2019
ELTK,NASDAQ,0.01,26.77,3.7356,147887,552447,0.3382,0.3623,36,1/7/2019,1/11/2019
EMB,NASDAQ,0.01,0.88,113.5967,4025033,457230466,0.4389,0.4557,46,1/7/2019,1/11/2019
EMCB,NASDAQ,0.01,1.37,72.9166,1414,103104,0.3022,0.2107,21,1/7/2019,1/11/2019
EMCF,NASDAQ,0.01,3.08,32.5036,1430,46480,1.1177,0.7001,70,1/7/2019,1/11/2019
EMIF,NASDAQ,0.01,3.49,28.6473,2713,77720,0.2462,0.1542,15,1/7/2019,1/11/2019
EMKR,NASDAQ,0.01,33.84,2.9552,90883,268577,0.0738,0.122,12,1/7/2019,1/11/2019
EML,NASDAQ,0.01,3.94,25.3865,7247,183976,0.667,1.038,104,1/7/2019,1/11/2019
EMXC,NASDAQ,0.01,2.08,47.9661,2320,111281,0.4148,0.1531,15,1/7/2019,1/11/2019
ENDP,NASDAQ,0.01,28.97,3.4523,8293166,28630497,0.2684,0.358,36,1/7/2019,1/11/2019
ENG,NASDAQ,0.01,96.1,1.0406,26494,27570,0.0398,0.081,8,1/7/2019,1/11/2019
ENLV,NASDAQ,0.01,4.49,22.2835,35564,792490,1.9341,1.9715,197,1/7/2019,1/11/2019
ENOB,NASDAQ,0.01,20.71,4.8288,40971,197841,0.2814,0.3985,40,1/7/2019,1/11/2019
ENPH,NASDAQ,0.01,3.97,25.1741,5411367,136226294,1.4688,1.7144,171,1/7/2019,1/11/2019
ENSG,NASDAQ,0.01,2.12,47.0929,278149,13098843,1.0187,1.4741,147,1/7/2019,1/11/2019
ENT,NASDAQ,0.01,5.77,17.3314,14022,243021,1.2199,1.5843,158,1/7/2019,1/11/2019
ENTA,NASDAQ,0.01,1.42,70.3577,191791,13493974,1.8453,2.5725,257,1/7/2019,1/11/2019
ENTG,NASDAQ,0.01,2.29,43.6826,1017506,44447308,0.7578,1.1185,112,1/7/2019,1/11/2019
ENTX,NASDAQ,0.01,36.07,2.7723,7822,21685,0.1875,0.3027,30,1/7/2019,1/11/2019
ENZL,NASDAQ,0.01,1.88,53.1512,38914,2068326,0.4724,0.3786,38,1/7/2019,1/11/2019
EOLS,NASDAQ,0.01,6.19,16.1616,395528,6392365,0.6615,1.0209,102,1/7/2019,1/11/2019
EPAY,NASDAQ,0.01,2.42,41.3129,241957,9995945,0.6655,1.2205,122,1/7/2019,1/11/2019
EPIX,NASDAQ,0.01,35.52,2.8154,35670,100425,0.1732,0.253,25,1/7/2019,1/11/2019
EPSN,NASDAQ,0.01,27.14,3.6848,32834,120987,0.1401,0.1262,13,1/7/2019,1/11/2019
EPZM,NASDAQ,0.01,8.3,12.0533,621126,7486618,0.4063,0.6349,63,1/7/2019,1/11/2019
EQ,NASDAQ,0.01,24.41,4.097,33964,139151,0.192,0.3627,36,1/7/2019,1/11/2019
EQBK,NASDAQ,0.01,3.79,26.3594,59415,1566144,0.4973,0.721,72,1/7/2019,1/11/2019
EQIX,NASDAQ,0.01,0.18,546.5935,372728,203730702,7.0147,10.7458,1075,1/7/2019,1/11/2019
EQRR,NASDAQ,0.01,2.55,39.215,1358,53254,0.6324,0.2183,22,1/7/2019,1/11/2019
ERI,NASDAQ,0.01,2.36,42.3315,1522579,64453053,0.966,1.4428,144,1/7/2019,1/11/2019
ERIC,NASDAQ,0.01,11.74,8.5212,6534437,55681245,0.1734,0.1329,13,1/7/2019,1/11/2019
ERIE,NASDAQ,0.01,0.47,215.0373,161502,34728954,5.1938,6.1266,613,1/7/2019,1/11/2019
ERII,NASDAQ,0.01,10.1,9.9007,214971,2128363,0.282,0.3417,34,1/7/2019,1/11/2019
ERYP,NASDAQ,0.01,18.88,5.2953,513,2716,0.1609,0.0513,5,1/7/2019,1/11/2019
ESBK,NASDAQ,0.01,6.85,14.6079,9851,143902,0.2485,0.4076,41,1/7/2019,1/11/2019
ESCA,NASDAQ,0.01,9.09,11.0006,12183,134020,0.2183,0.3522,35,1/7/2019,1/11/2019
ESEA,NASDAQ,0.01,19.1,5.2344,96850,506952,0.2353,0.3907,39,1/7/2019,1/11/2019
ESGD,NASDAQ,0.01,1.57,63.6207,133087,8467088,0.4721,0.3808,38,1/7/2019,1/11/2019
ESGE,NASDAQ,0.01,3.03,32.9698,175270,5778617,0.29,0.2745,27,1/7/2019,1/11/2019
ESGR,NASDAQ,0.01,0.55,182.5924,63309,11559742,1.9725,3.2636,326,1/7/2019,1/11/2019
ESGRO,NASDAQ,0.01,3.78,26.4812,14209,376271,0.1274,0.155,16,1/7/2019,1/11/2019
ESGRP,NASDAQ,0.01,3.73,26.8388,29171,782915,0.1474,0.2101,21,1/7/2019,1/11/2019
ESGU,NASDAQ,0.01,1.53,65.1695,100551,6552858,0.5749,0.5659,57,1/7/2019,1/11/2019
ESLT,NASDAQ,0.01,0.63,159.2252,11849,1886659,2.3401,1.805,180,1/7/2019,1/11/2019
ESPO,NASDAQ,0.01,2.96,33.7785,12067,407605,0.4027,0.3403,34,1/7/2019,1/11/2019
ESPR,NASDAQ,0.01,2.55,39.2705,388227,15245868,0.7888,1.4697,147,1/7/2019,1/11/2019
ESQ,NASDAQ,0.01,4.19,23.8657,10245,244504,0.579,0.7814,78,1/7/2019,1/11/2019
ESSA,NASDAQ,0.01,6.42,15.576,11669,181756,0.1767,0.2892,29,1/7/2019,1/11/2019
ESTA,NASDAQ,0.01,4.84,20.6708,83993,1736203,0.5621,1.0612,106,1/7/2019,1/11/2019
ESXB,NASDAQ,0.01,12.3,8.1273,23215,188675,0.1467,0.2486,25,1/7/2019,1/11/2019
ETFC,NASDAQ,0.01,2.33,42.924,3497441,150124157,1.139,1.0838,108,1/7/2019,1/11/2019
ETON,NASDAQ,0.01,15.92,6.282,120871,759312,0.2595,0.4135,41,1/7/2019,1/11/2019
ETSY,NASDAQ,0.01,1.72,58.151,3239213,188363475,2.0147,2.2414,224,1/7/2019,1/11/2019
ETTX,NASDAQ,0.01,15.4,6.4943,15203,98733,0.2398,0.3951,40,1/7/2019,1/11/2019
EUFN,NASDAQ,0.01,5.71,17.5264,1147438,20110457,0.1961,0.146,15,1/7/2019,1/11/2019
EVBG,NASDAQ,0.01,1.24,80.6238,537700,43351417,2.3468,3.1605,316,1/7/2019,1/11/2019
EVER,NASDAQ,0.01,5.25,19.0528,246223,4691238,0.9992,1.1301,113,1/7/2019,1/11/2019
EVFM,NASDAQ,0.01,19.64,5.0916,38360,195314,0.1596,0.2645,26,1/7/2019,1/11/2019
EVGBC,NASDAQ,0.01,1,99.99,2,200,0,0,0,1/7/2019,1/11/2019
