symbol,exchange,tickSz,tickBps,avgPx,avgVol,avgNtl,volatility,dailyRange,tickRange,startDate,endDate
BMRA,NASDAQ,0.01,32.68,3.0601,29321,89725,0.1241,0.1866,19,1/7/2019,1/11/2019
BMRC,NASDAQ,0.01,2.38,42.0894,28188,1186416,0.5875,0.8597,86,1/7/2019,1/11/2019
BMRN,NASDAQ,0.01,1.34,74.5858,1256231,93696994,1.3614,2.0697,207,1/7/2019,1/11/2019
BMTC,NASDAQ,0.01,2.77,36.1065,65278,2356960,0.5154,0.7128,71,1/7/2019,1/11/2019
BND,NASDAQ,0.01,1.19,83.9598,2965031,248943410,0.2066,0.2163,22,1/7/2019,1/11/2019
BNDW,NASDAQ,0.01,1.25,79.9305,19030,1521077,0.1737,0.1395,14,1/7/2019,1/11/2019
BNDX,NASDAQ,0.01,1.71,58.3852,1851355,108091732,0.1325,0.0926,9,1/7/2019,1/11/2019
BNFT,NASDAQ,0.01,4.01,24.9456,341669,8523138,0.6309,1.0444,104,1/7/2019,1/11/2019
BNGO,NASDAQ,0.01,63.43,1.5766,2338705,3687202,0.3297,0.2648,26,1/7/2019,1/11/2019
BNSO,NASDAQ,0.01,40.34,2.4787,1776,4402,0.0901,0.1116,11,1/7/2019,1/11/2019
BNTC,NASDAQ,0.01,9.49,10.5342,42710,449916,0.8393,1.095,110,1/7/2019,1/11/2019
BNTX,NASDAQ,0.01,6.35,15.7412,559119,8801204,1.6221,1.804,180,1/7/2019,1/11/2019
BOCH,NASDAQ,0.01,9.45,10.5858,23607,249899,0.1441,0.2178,22,1/7/2019,1/11/2019
BOKF,NASDAQ,0.01,1.28,77.9413,154044,12006390,1.4143,1.8024,180,1/7/2019,1/11/2019
BOKFL,NASDAQ,0.01,3.87,25.8251,12144,313620,0.1208,0.1716,17,1/7/2019,1/11/2019
BOMN,NASDAQ,0.01,4.79,20.8851,58562,1223073,0.3433,0.6321,63,1/7/2019,1/11/2019
BOOM,NASDAQ,0.01,2.1,47.6923,329628,15720717,1.8808,2.2593,226,1/7/2019,1/11/2019
BOSC,NASDAQ,0.01,38.57,2.5928,22741,58963,0.074,0.1109,11,1/7/2019,1/11/2019
BOTJ,NASDAQ,0.01,6.89,14.5094,3183,46183,0.2212,0.19,19,1/7/2019,1/11/2019
BOTZ,NASDAQ,0.01,5.08,19.6773,654500,12878793,0.2742,0.2372,24,1/7/2019,1/11/2019
BOXL,NASDAQ,0.01,43.48,2.2998,53409,122830,0.0978,0.1603,16,1/7/2019,1/11/2019
BPFH,NASDAQ,0.01,8.85,11.303,467581,5285068,0.2071,0.3033,30,1/7/2019,1/11/2019
BPMC,NASDAQ,0.01,1.21,82.7902,427263,35373189,2.2931,3.3311,333,1/7/2019,1/11/2019
BPOP,NASDAQ,0.01,1.84,54.254,509910,27664657,0.7903,1.1295,113,1/7/2019,1/11/2019
BPOPM,NASDAQ,0.01,3.8,26.2829,4815,126552,0.2671,0.3016,30,1/7/2019,1/11/2019
BPOPN,NASDAQ,0.01,3.69,27.1037,7099,192409,0.2043,0.3957,40,1/7/2019,1/11/2019
BPRN,NASDAQ,0.01,3.58,27.9203,6047,168834,0.4158,0.6036,60,1/7/2019,1/11/2019
BPTH,NASDAQ,0.01,8.39,11.9169,119160,1420018,0.6417,0.7528,75,1/7/2019,1/11/2019
BPY,NASDAQ,0.01,5.18,19.2917,819215,15804050,0.245,0.3163,32,1/7/2019,1/11/2019
BPYPO,NASDAQ,0.01,3.85,25.9657,94890,2463885,0.1429,0.2548,25,1/7/2019,1/11/2019
BPYPP,NASDAQ,0.01,3.86,25.897,23159,599749,0.1042,0.1678,17,1/7/2019,1/11/2019
BPYU,NASDAQ,0.01,5.12,19.5164,896160,17489817,0.2448,0.3071,31,1/7/2019,1/11/2019
BPYUP,NASDAQ,0.01,3.94,25.3574,24531,622042,0.0998,0.1512,15,1/7/2019,1/11/2019
BREW,NASDAQ,0.01,8.83,11.3194,154095,1744263,0.4879,0.5071,51,1/7/2019,1/11/2019
BRID,NASDAQ,0.01,3.07,32.5387,6913,224940,0.949,1.2638,126,1/7/2019,1/11/2019
BRKL,NASDAQ,0.01,6.83,14.6366,252064,3689360,0.1902,0.2813,28,1/7/2019,1/11/2019
BRKR,NASDAQ,0.01,2.25,44.4551,747758,33241657,0.8468,1.086,109,1/7/2019,1/11/2019
